"","...1","artist","type","lvar","lave","lmax","lfener","lfreq"
"1","Dancing Queen","Abba","Rock",17600755.6,-90.0068667,29921,105.92095,59.57379
"2","Take a Chance","Abba","Rock",9049481.5,-98.0629244,26372,102.32488,124.59397
"3","Lay All You","Abba","Rock",6282285.6,-88.9526309,27940,100.30076,74.02039
"4","I Have A Dream","Abba","Rock",3369670.3,-71.6828788,14699,104.59686,305.18689
"5","Money","Abba","Rock",6146942.6,-76.28075,22962,102.24066,165.15799
"6","All in a Days Work","Eels","Rock",40275677.4,-10.6893416,32759,106.07617,65.48281
"7","The Good Old Days","Eels","Rock",18838849,-0.0222764,30386,105.45611,165.2421
"8","Girl","Eels","Rock",88547131,0.3358761,32744,112.00916,392.28702
"9","Rock Hard Times","Eels","Rock",54651552.8,1.9848514,32759,108.87503,312.37864
"10","Lone Wolf","Eels","Rock",63878899.8,3.3592505,32759,109.53291,66.13469
"11","Love Me Do","Beatles","Rock",28806811.2,-5.7452189,24159,109.95808,126.50757
"12","Cant Buy Me Love","Beatles","Rock",76729438,-5.9583971,30102,112.71792,100.20089
"13","Ticket to Ride","Beatles","Rock",68104547,-6.1449114,30415,111.59957,107.30853
"14","Yesterday","Beatles","Rock",23080907.6,-6.0298337,28169,107.30541,173.50631
"15","Eleanor Rigby","Beatles","Rock",18819753.2,-6.1265193,21680,108.65894,164.92667
"16","Anywhere Is","Enya","New wave",12230252.2,-17.83727,24968,105.75748,79.31957
